symbol,timestamp,open,high,low,close,volume
600519.SH,20211216,1920.08,1949.13,1891.31,1924.07,37211
600519.SH,20211217,1905.58,1913.08,1841.08,1855.78,48403
600519.SH,20211220,1855.78,1890.74,1846.08,1864.04,32258
600519.SH,20211221,1850.08,1874.21,1817.91,1843.28,26286
600519.SH,20211222,1845.08,1868.08,1845.08,1853.08,17431
600519.SH,20211223,1858.08,1925.08,1830.08,1925.08,39099
600519.SH,20211224,1953.96,2022.04,1953.96,1999.17,56130
600519.SH,20211227,1973.08,1973.08,1917.08,1936.9,37556
600519.SH,20211228,1938.08,1960.58,1921.68,1943.26,27651
600519.SH,20211229,1955.08,1959.33,1846.08,1846.08,54049
600519.SH,20211230,1846.08,1894.06,1833.08,1880.08,35261
600519.SH,20211231,1875.08,1878.06,1833.08,1855.08,29665
600519.SH,20220104,1860.08,1874.03,1819.08,1856.31,33843
600519.SH,20220105,1850.08,1870.08,1823.08,1829.08,28396
600519.SH,20220106,1827.09,1841.08,1743.59,1787.3,51795
600519.SH,20220107,1780.08,1793.96,1744.4,1747.08,29817
600519.SH,20220110,1733.09,1782.08,1722.63,1771.08,29627
600519.SH,20220111,1753.08,1770.08,1736.25,1745.63,22277
600519.SH,20220112,1753.08,1783.88,1753.08,1772.08,27474
600519.SH,20220113,1769.9,1773.07,1670.64,1682.47,56747
600519.SH,20220114,1682.47,1698.08,1668.08,1672.08,29322
600519.SH,20220117,1673.08,1683.38,1640.42,1666.69,27354
600519.SH,20220118,1666.76,1713.93,1657.08,1697.35,31216
600519.SH,20220119,1724.08,1724.08,1693.96,1717.08,26371
600519.SH,20220120,1721.08,1785.07,1721.08,1774.6,34014
600519.SH,20220121,1765.08,1798.57,1756.09,1790.07,30813
600519.SH,20220124,1760.08,1789.08,1736.52,1755.28,23986
600519.SH,20220125,1748.08,1771.08,1736.08,1748.08,25510
600519.SH,20220126,1747.12,1774.08,1724.08,1760.08,23905
600519.SH,20220127,1806.09,1815.9,1757.08,1770.08,42665
600519.SH,20220128,1760.08,1773.08,1685.09,1692.08,41020
600519.SH,20220207,1706.07,1718.64,1655.08,1673.04,35150
600519.SH,20220208,1673.96,1677.95,1595.08,1644.08,41713
600519.SH,20220209,1644.17,1713.08,1632.05,1701.06,33885
600519.SH,20220210,1705.08,1710.98,1662.47,1678.08,23032
600519.SH,20220211,1662.08,1705.87,1646.08,1655.05,33746
600519.SH,20220214,1645.08,1682.08,1642.39,1673.75,20196
600519.SH,20220215,1673.88,1716.08,1664.08,1695.7,27106
600519.SH,20220216,1705.08,1712.08,1693.08,1697.63,14587
600519.SH,20220217,1705.69,1716.56,1686.08,1692.07,18214
600519.SH,20220218,1682.71,1713.06,1670.74,1712.08,19385
600519.SH,20220221,1705.08,1711.98,1674.03,1682.07,20816
600519.SH,20220222,1665.09,1666.08,1605.1,1612.95,52299
600519.SH,20220223,1616.49,1639.08,1605.16,1632.09,28112
600519.SH,20220224,1613.08,1619.07,1553.18,1569.19,65359
600519.SH,20220225,1580.08,1613.36,1580.08,1604.14,38979
600519.SH,20220228,1592.14,1602.08,1572.08,1595.48,28923
600519.SH,20220301,1607.08,1668.65,1607.08,1663.56,47379
600519.SH,20220302,1645.08,1656.07,1630.08,1649.96,20074
600519.SH,20220303,1650.88,1655.33,1599.08,1605.08,31547
600519.SH,20220304,1577.08,1597.97,1560.18,1585.58,31047
600519.SH,20220307,1565.28,1573.08,1508.88,1512.08,49156
600519.SH,20220308,1565.06,1591.74,1537.08,1558.28,57215
600519.SH,20220309,1569.18,1610.08,1526.19,1584.26,56434
600519.SH,20220310,1613.08,1626.08,1596.08,1599.51,36462
600519.SH,20220311,1571.08,1582.08,1523.16,1574.09,47727
600519.SH,20220314,1535.08,1555.08,1505.08,1505.08,49007
600519.SH,20220315,1455.08,1490.08,1408.08,1408.08,89056
600519.SH,20220316,1439.08,1488.98,1398.08,1480.03,77593
600519.SH,20220317,1525.08,1560.08,1516.74,1525.23,68352
600519.SH,20220318,1523.08,1550.08,1497.36,1512.87,38349
600519.SH,20220321,1529.08,1530.73,1500.09,1509.38,27877
600519.SH,20220322,1528.96,1528.96,1491.41,1500.08,21054
600519.SH,20220323,1510.08,1575.08,1502.08,1557.27,58067
600519.SH,20220324,1543.08,1545.08,1522.43,1526.01,25815
600519.SH,20220325,1517.08,1539.08,1490.08,1495.08,29709
600519.SH,20220328,1430.08,1469.88,1409.08,1465.88,57542
600519.SH,20220329,1466.58,1496.58,1466.58,1472.08,25935
600519.SH,20220330,1503.08,1535.18,1500.08,1535.18,42433
600519.SH,20220331,1525.08,1543.68,1513.88,1524.08,25174
600519.SH,20220401,1535.02,1598.08,1526.77,1585.09,44862
600519.SH,20220406,1558.08,1593.81,1558.08,1570.08,27820
600519.SH,20220407,1563.08,1590.08,1555.18,1570.08,20196
600519.SH,20220408,1573.08,1593.78,1571.62,1589.08,22941
600519.SH,20220411,1575.08,1575.08,1511.11,1525.08,43864
600519.SH,20220412,1534.08,1593.05,1513.08,1587.08,41630
600519.SH,20220413,1572.08,1600.08,1556.16,1574.08,31148
600519.SH,20220414,1593.08,1640.98,1585.28,1614.08,37650
600519.SH,20220415,1607.28,1623.08,1600.97,1611.07,21041
600519.SH,20220418,1586.21,1603.08,1573.08,1595.9,19793
600519.SH,20220419,1605.08,1638.07,1580.58,1595.38,24205
600519.SH,20220420,1606.77,1625.08,1573.76,1602.08,24156
600519.SH,20220421,1595.28,1611.08,1575.08,1585.06,28953
600519.SH,20220422,1568.08,1592.96,1565.26,1578.08,27900
600519.SH,20220425,1555.08,1581.58,1507.08,1513.08,53658
600519.SH,20220426,1508.41,1554.06,1505.08,1537.56,44564
600519.SH,20220427,1572.2,1615.08,1572.2,1600.0,57402
600519.SH,20220428,1598.08,1650.08,1591.58,1640.08,44010
600519.SH,20220429,1641.08,1654.08,1616.06,1633.46,34885
600519.SH,20220505,1635.08,1675.08,1634.06,1642.08,33661
600519.SH,20220506,1620.07,1624.08,1586.08,1598.08,28596
600519.SH,20220509,1585.08,1585.08,1543.08,1557.08,30352
600519.SH,20220510,1525.08,1590.04,1510.09,1571.27,40119
600519.SH,20220511,1560.08,1593.56,1557.08,1573.08,30313
600519.SH,20220512,1558.08,1583.08,1555.08,1567.75,22038
600519.SH,20220513,1585.08,1603.02,1571.08,1583.32,20731
600519.SH,20220516,1602.08,1602.08,1547.75,1563.08,27765
600519.SH,20220517,1574.96,1580.08,1560.08,1573.08,20145
600519.SH,20220518,1578.74,1579.0,1548.1,1566.08,24850
600519.SH,20220519,1550.08,1562.08,1544.08,1561.08,19776
600519.SH,20220520,1565.07,1606.23,1557.08,1605.09,41950
600519.SH,20220523,1605.08,1608.97,1577.08,1586.08,22157
600519.SH,20220524,1591.08,1592.08,1560.58,1565.08,27342
600519.SH,20220525,1570.35,1577.08,1552.08,1560.59,22389
600519.SH,20220526,1566.08,1566.08,1535.08,1547.88,28053
600519.SH,20220527,1565.07,1585.08,1558.09,1560.24,25120
600519.SH,20220530,1571.08,1595.63,1571.08,1583.49,34466
600519.SH,20220531,1579.85,1619.98,1572.06,1609.11,40751
600519.SH,20220601,1607.08,1619.86,1584.08,1593.33,21760
600519.SH,20220602,1593.05,1600.88,1585.08,1591.08,16915
600519.SH,20220606,1595.08,1600.08,1563.08,1593.08,36741
600519.SH,20220607,1589.22,1630.08,1575.39,1622.98,35049
600519.SH,20220608,1630.08,1687.08,1630.08,1670.68,44354
600519.SH,20220609,1677.08,1693.43,1654.08,1658.08,26329
600519.SH,20220610,1650.09,1712.08,1640.08,1705.68,47345
600519.SH,20220613,1695.08,1697.08,1653.16,1661.08,36755
600519.SH,20220614,1639.08,1680.5,1637.08,1676.08,29416
600519.SH,20220615,1675.08,1710.08,1668.07,1680.18,33664
600519.SH,20220616,1699.67,1712.71,1680.41,1682.08,26887
600519.SH,20220617,1683.17,1757.08,1683.17,1756.08,50542
600519.SH,20220620,1755.08,1775.08,1735.08,1747.1,34975
600519.SH,20220621,1754.08,1772.07,1733.08,1750.82,23717
600519.SH,20220622,1760.08,1763.08,1737.08,1741.08,19647
600519.SH,20220623,1747.78,1770.12,1745.08,1762.18,26844
600519.SH,20220624,1775.08,1825.08,1770.08,1814.09,39635
