symbol,timestamp,open,high,low,close,volume
300750.SZ,20230526,205.5,205.8,198.8,201.3,182117
300750.SZ,20230529,203.5,203.52,196.9,198.36,165372
300750.SZ,20230530,198.3,206.29,197.31,206.29,264671
300750.SZ,20230531,206.35,208.19,201.46,202.47,188697
300750.SZ,20230601,203.94,209.3,202.81,204.2,159410
300750.SZ,20230602,206.2,211.29,205.3,209.74,231815
300750.SZ,20230605,207.2,207.2,197.69,201.1,335951
300750.SZ,20230606,199.31,203.6,198.28,200.58,172425
300750.SZ,20230607,197.68,197.8,185.75,188.6,500939
300750.SZ,20230608,194.05,194.6,188.3,189.31,238579
300750.SZ,20230609,189.85,194.43,189.85,193.34,242617
300750.SZ,20230612,193.25,195.3,190.2,193.25,181316
300750.SZ,20230613,192.31,195.23,191.98,194.4,132437
300750.SZ,20230614,198.45,198.93,194.3,194.7,163629
300750.SZ,20230615,196.29,212.18,196.19,212.18,504957
300750.SZ,20230616,213.3,215.47,209.6,212.4,296398
300750.SZ,20230619,214.29,214.29,207.3,209.18,187071
300750.SZ,20230620,209.17,212.61,207.07,209.3,179605
300750.SZ,20230621,210.11,211.8,206.2,206.21,171184
300750.SZ,20230626,201.21,208.25,200.98,206.47,159106
300750.SZ,20230627,205.28,207.6,202.48,204.77,134206
300750.SZ,20230628,203.52,207.8,203.3,205.8,135586
300750.SZ,20230629,204.81,208.21,203.8,203.8,99302
300750.SZ,20230630,205.29,211.29,201.65,210.09,215515
300750.SZ,20230703,213.25,215.25,209.85,211.18,155544
300750.SZ,20230704,209.8,211.35,208.98,210.55,101557
300750.SZ,20230705,210.56,211.71,206.8,208.81,86364
300750.SZ,20230706,208.3,209.78,205.27,206.15,102836
300750.SZ,20230707,206.1,206.15,202.9,203.55,98084
300750.SZ,20230710,204.3,211.3,204.3,210.1,160938
300750.SZ,20230711,210.95,211.29,207.88,210.39,91588
300750.SZ,20230712,209.8,210.7,207.8,208.29,86933
300750.SZ,20230713,209.51,216.3,209.51,211.3,222577
300750.SZ,20230714,211.45,212.23,207.85,209.58,130041
300750.SZ,20230717,208.31,209.3,204.9,206.95,104525
300750.SZ,20230718,209.1,209.18,205.8,206.8,85758
300750.SZ,20230719,205.3,206.25,199.88,200.8,176002
300750.SZ,20230720,200.3,207.99,200.3,202.35,144416
300750.SZ,20230721,202.15,204.28,201.06,202.89,83935
300750.SZ,20230724,198.45,202.18,195.44,200.28,137193
300750.SZ,20230725,206.2,208.94,202.32,207.65,192862
300750.SZ,20230726,206.42,208.3,204.96,207.96,154568
300750.SZ,20230727,212.3,214.18,208.18,208.28,208592
300750.SZ,20230728,208.28,212.3,206.35,211.35,188031
300750.SZ,20230731,215.3,220.8,214.4,219.05,299028
300750.SZ,20230801,218.7,220.4,215.8,216.8,156152
300750.SZ,20230802,218.3,220.79,216.8,217.8,141472
300750.SZ,20230803,217.3,221.27,216.83,220.44,161805
300750.SZ,20230804,226.3,231.26,222.41,226.81,315697
300750.SZ,20230807,225.8,228.24,224.61,227.79,149277
300750.SZ,20230808,227.28,230.63,226.18,228.44,150667
300750.SZ,20230809,226.8,228.98,224.44,228.3,116847
300750.SZ,20230810,229.2,232.63,225.42,227.8,140410
300750.SZ,20230811,230.25,230.25,222.8,222.8,172041
300750.SZ,20230814,220.5,221.28,211.51,214.2,256932
300750.SZ,20230815,214.18,215.9,210.7,212.6,146101
300750.SZ,20230816,212.82,215.68,211.41,213.9,140090
300750.SZ,20230817,216.29,217.8,210.18,216.55,204428
300750.SZ,20230818,216.59,220.42,215.72,217.17,167700
300750.SZ,20230821,215.29,217.17,213.5,214.26,107804
300750.SZ,20230822,216.1,216.48,208.81,212.05,151889
300750.SZ,20230823,212.0,213.2,208.3,208.8,118749
300750.SZ,20230824,210.18,212.84,207.8,210.25,141577
300750.SZ,20230825,209.23,211.27,207.11,209.64,111851
300750.SZ,20230828,222.8,225.26,210.8,211.8,223115
300750.SZ,20230829,212.5,224.3,212.22,219.8,291750
300750.SZ,20230830,220.7,223.3,218.8,218.8,145916
300750.SZ,20230831,218.4,219.8,217.43,217.85,96715
300750.SZ,20230901,217.9,220.81,215.9,217.7,91011
300750.SZ,20230904,219.51,220.06,214.7,218.95,140524
300750.SZ,20230905,218.3,220.8,217.46,218.12,115817
300750.SZ,20230906,217.35,218.47,214.1,215.72,124748
300750.SZ,20230907,214.3,215.05,207.81,207.81,192661
300750.SZ,20230908,206.3,208.5,201.8,204.24,164994
300750.SZ,20230911,204.2,204.85,200.98,202.83,170609
300750.SZ,20230912,203.3,203.71,198.84,199.23,182312
300750.SZ,20230913,198.3,200.45,196.33,197.9,151357
300750.SZ,20230914,194.98,197.6,194.33,196.23,182941
300750.SZ,20230915,193.3,195.3,187.9,189.06,336800
300750.SZ,20230918,187.3,195.99,187.3,194.36,265935
300750.SZ,20230919,194.36,194.78,191.9,193.62,150244
300750.SZ,20230920,194.3,194.63,189.98,191.2,130875
300750.SZ,20230921,191.31,192.25,187.97,188.03,162149
300750.SZ,20230922,186.8,192.75,186.8,192.23,225091
300750.SZ,20230925,194.32,194.92,190.01,190.58,136054
300750.SZ,20230926,187.97,188.65,184.8,185.8,202538
300750.SZ,20230927,187.6,189.79,183.75,184.96,218490
300750.SZ,20230928,185.3,187.8,183.88,184.33,158095
300750.SZ,20231009,182.3,182.58,174.3,176.8,337428
300750.SZ,20231010,179.18,179.3,176.02,176.02,198655
300750.SZ,20231011,179.17,179.9,175.4,176.07,202482
300750.SZ,20231012,176.31,179.1,175.3,177.24,242059
300750.SZ,20231013,175.15,176.13,170.9,171.9,284222
300750.SZ,20231016,171.64,171.83,165.21,166.06,246836
300750.SZ,20231017,166.81,170.6,165.87,166.74,215583
300750.SZ,20231018,166.4,169.55,164.9,167.6,176519
300750.SZ,20231019,165.71,166.98,163.58,164.0,174542
300750.SZ,20231020,160.3,168.99,160.3,162.3,300269
300750.SZ,20231023,161.6,161.6,157.1,158.56,202233
300750.SZ,20231024,159.3,160.5,156.6,157.72,243795
300750.SZ,20231025,159.5,160.8,156.98,157.28,215342
300750.SZ,20231026,155.3,159.6,150.11,159.37,414206
300750.SZ,20231027,159.15,167.18,157.32,166.02,477953
300750.SZ,20231030,168.3,171.18,166.1,169.32,322595
300750.SZ,20231031,167.98,168.52,165.9,166.9,181525
300750.SZ,20231101,167.09,171.6,165.8,168.84,197273
300750.SZ,20231102,169.8,171.18,166.87,166.87,137627
300750.SZ,20231103,167.3,169.98,165.9,168.74,143655
300750.SZ,20231106,169.87,178.4,169.75,178.38,349684
300750.SZ,20231107,177.29,177.41,171.42,172.54,260803
300750.SZ,20231108,171.48,174.24,171.3,173.14,146522
300750.SZ,20231109,171.93,173.88,171.83,172.75,109971
300750.SZ,20231110,170.3,171.27,169.35,170.33,116100
300750.SZ,20231113,173.3,173.5,168.32,169.15,125196
300750.SZ,20231114,169.15,170.1,164.3,164.98,234883
300750.SZ,20231115,168.19,169.89,164.88,165.78,238072
300750.SZ,20231116,166.78,166.79,161.4,162.45,174662
300750.SZ,20231117,161.15,162.55,160.79,162.03,110840
300750.SZ,20231120,162.04,163.1,160.31,161.6,124087
300750.SZ,20231121,163.3,165.3,161.31,161.91,197662
300750.SZ,20231122,160.85,162.6,158.3,158.3,186886
300750.SZ,20231123,157.31,159.0,156.19,159.0,157203
300750.SZ,20231124,158.33,159.5,155.8,156.3,166212
300750.SZ,20231127,155.59,155.8,151.9,152.0,184220
300750.SZ,20231128,151.33,153.27,150.17,153.22,202107
300750.SZ,20231129,152.3,152.68,147.67,148.15,251885
300750.SZ,20231130,146.52,149.96,145.79,148.3,230272
300750.SZ,20231201,148.59,149.0,145.73,146.8,169622
300750.SZ,20231204,144.8,145.74,142.54,142.95,239304
300750.SZ,20231205,141.45,143.67,139.95,140.11,248077
300750.SZ,20231206,139.95,148.16,139.52,144.18,367693
300750.SZ,20231207,143.3,147.66,142.9,145.79,269084
300750.SZ,20231208,146.3,147.63,144.42,144.89,245020
300750.SZ,20231211,143.31,146.99,141.46,146.65,214896
300750.SZ,20231212,145.3,146.52,144.28,144.93,147339
300750.SZ,20231213,143.85,144.89,140.01,140.65,252594
